name,code,date,title,link
"CNBM","03323","2026-07-14","PROFIT ALERT","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071401036.pdf"
"BBMG","02009","2026-07-14","PROFIT WARNING ANNOUNCEMENT OF 2026 INTERIM RESULTS","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400968.pdf"
"SHANGHAI PECHEM","00338","2026-07-14","POSITIVE PROFIT WARNING
ANNOUNCEMENT ON ESTIMATED POSITIVE PROFIT
IN INTERIM RESULTS OF 2026","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400940.pdf"
"中國有色礦業","01258","2026-07-14","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400843_c.pdf"
"YANKUANG ENERGY","01171","2026-07-14","INSIDE INFORMATION POSITIVE PROFIT ALERT ANNOUNCEMENT FOR THE FIRST HALF OF 2026","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400703.pdf"
"中國創新投資","01217","2026-07-14","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400392_c.pdf"
"自動系統","00771","2026-07-14","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400324_c.pdf"
"福萊特玻璃","06865","2026-07-14","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400278_c.pdf"
"S.A.S. DRAGON","01184","2026-07-14","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400195_c.pdf"
"賽晶科技","00580","2026-07-13","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071301096_c.pdf"
"鞍鋼股份","00347","2026-07-13","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071301064_c.pdf"
"華勤技術","03296","2026-07-13","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071300926_c.pdf"
"中國三江化工","02198","2026-07-13","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071300864_c.pdf"
"靈寶黃金","03330","2026-07-13","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071300862_c.pdf"
"澳亞集團","02425","2026-07-13","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071300613_c.pdf"
"載通","00062","2026-07-13","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0713/2026071300363_c.pdf"
"洛陽鉬業","03993","2026-07-10","內幕消息 - 正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071001422_c.pdf"
"八馬茶業","06980","2026-07-10","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071001394_c.pdf"
"佳鑫國際資源","03858","2026-07-10","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071001384_c.pdf"
"CHINA VANKE","02202","2026-07-10","PROFIT ALERT","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071001165.pdf"
"中國宏橋","01378","2026-07-10","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071001040_c.pdf"
"天寶集團","01979","2026-07-10","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071000751_c.pdf"
"嬴集團","00397","2026-07-10","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071000707_c.pdf"
"GPIXEL","03277","2026-07-10","POSITIVE PROFIT ALERT","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0710/2026071000558.pdf"
"高陽科技","00818","2026-06-30","截至二零二六年六月三十日止六個月盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0630/2026063001698_c.pdf"
"百富環球","00327","2026-06-30","盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0630/2026063001619_c.pdf"
"英達公路再生科技","06888","2026-06-30","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0630/2026063001346_c.pdf"
"綠色經濟","01315","2026-06-26","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062600969_c.pdf"
"瑩嵐集團","01162","2026-06-26","盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062600756_c.pdf"
"中國資源交通","00269","2026-06-26","盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062600613_c.pdf"
"CHINA WEAVING","03778","2026-06-26","PROFIT ALERT","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062600409.pdf"
"萬景控股","02193","2026-05-29","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0529/2026052901654_c.pdf"
