code,name,categories,price,market_cap_yi,ttm_revenue_yi,ttm_net_yi,ttm_deduct_yi,pe_ttm_net,pe_ttm_deduct,q1_revenue_yi,q1_net_yi,q1_deduct_yi,q1_rev_yoy,q1_net_yoy,q1_deduct_yoy,q1_gross_margin,q1_net_margin,q1_roe,rev_positive_quarters,deduct_positive_quarters,s5_operating_score,pe_to_growth,basic_gate
301308,江波龙,存储芯片封装设备材料,396.0,1675.32,284.1843947837,54.373492355699995,54.3385966254,30.811337058146044,30.831123805963173,99.08726244409999,38.6223656117,39.4263946907,132.7928324203,2644.0496580336,2051.4000905314,55.52742848844,40.160210661234,38.5479658728,4,4,93.2,0.31,True
688525,佰维存储,存储芯片封装设备材料,252.86,1192.4,165.7339783384,39.4950720504,38.1733977279,30.19110836102206,31.23641255356487,68.1425187063,28.9897448665,28.1647048665,341.5280090886,1567.8538876601,1405.5794928467,53.304851340991,42.222412744101,41.5554044602,4,3,93.2,0.31,True
688498,源杰科技,光互联,1656.0,2061.73,8.7231176668,3.5604583623000003,3.3119112609999997,579.0630840766678,622.5196986037242,3.5527848649,1.7944196861000001,1.7793967639,320.9399426311,1153.0720107745,1173.6432556932,77.807861627383,50.507411913063,7.3889815068,4,4,92.8,6.23,True
603986,兆易创新,存储芯片封装设备材料,463.15,3250.13,114.8247640801,28.746409173599996,26.554042420100004,113.06212126782222,122.39680680557413,41.8807557404,14.612483530799999,14.100642842000001,119.3786758368,522.7881381915,529.896244409,57.076718432617,35.159710736536,6.5998754464,4,4,91.4,1.22,True
688256,寒武纪,算力服务器网络,1190.58,7480.33,82.7049401874,27.1697687957,24.282684609,275.31813230533885,308.05201815401955,28.846967468600003,10.1321358194,9.3429710717,159.5554734937,185.0387224854,238.5590716564,54.330376246514,35.120676513495,8.2016729381,4,4,89.0,3.08,True
300308,中际旭创,光互联,979.46,10923.28,510.6215723739,149.4887969861,148.594163001,73.07089374072417,73.51082828150182,194.9639808395,57.3450152683,57.1774834078,192.1169094233,262.2836571329,264.5627377074,46.058133025773,32.399789950022,17.5495152336,4,4,87.8,0.74,True
688111,金山办公,AI软件工业智能,223.5,1037.07,62.404989558400004,36.288251267,35.837243205899995,28.578671161900164,28.938330832022928,16.1322359344,21.9516393716,21.710419986999998,23.954024903,444.9659523722,456.9089393116,86.593651225444,136.073136178171,15.6891741646,4,4,86.2,0.29,True
300502,新易盛,光互联,482.88,6732.59,291.2750034259,107.39619901180001,107.0651429395,62.689276361263644,62.883117839803646,83.37902040739999,27.8022296023,27.6797524813,105.759481459,76.7998324281,76.4424101065,49.160955149051,33.272113893698,14.5175286257,4,4,85.8,0.82,True
688072,拓荆科技,存储芯片封装设备材料,699.08,2032.08,69.2282396053,16.4425820891,10.0550717533,123.5864287609117,202.09502725160428,11.124317789600001,5.706022985900001,1.0211428297,56.9673418563,488.29176657,156.6527295801,41.689075316921,50.544827408263,8.2354774864,4,3,82.5,2.02,True
300033,同花顺,AI软件工业智能,215.56,1622.39,63.342935050200005,33.4062683084,31.889551962,48.56543643313941,50.8752836017659,10.5349472758,2.5593841837,2.5047982797999997,40.8063039587,112.5847546388,122.5804241507,84.988113237805,24.292706836596,3.1057992545,4,4,82.3,0.51,True
